2025-11-08 18:23:46 - ======================================================================
2025-11-08 18:23:46 - ICLV 모델 추정 시작
2025-11-08 18:23:46 - ======================================================================
2025-11-08 18:23:46 - SimultaneousEstimator.estimate() 시작
2025-11-08 18:23:46 - 데이터 shape: (5400, 59)
2025-11-08 18:23:46 - 개인 수: 299
2025-11-08 18:23:46 - Halton draws 생성 시작... (n_draws=100, n_individuals=299)
2025-11-08 18:23:46 - Halton draws 생성 완료
2025-11-08 18:23:46 - Analytic gradient calculators 초기화 (Apollo 방식)...
2025-11-08 18:23:46 - Analytic gradient calculators 초기화 완료
2025-11-08 18:23:46 - 초기 파라미터 설정 시작...
2025-11-08 18:23:46 - 초기 파라미터 설정 완료 (총 37개)
2025-11-08 18:23:46 - 파라미터 bounds 계산 시작...
2025-11-08 18:23:46 - 파라미터 bounds 계산 완료 (총 37개)
2025-11-08 18:23:46 - 최대 반복 횟수: 1000
2025-11-08 18:23:46 - ======================================================================
2025-11-08 18:23:46 - 병렬처리 활성화: 27 코어 사용
2025-11-08 18:23:46 - 최적화 시작: BFGS (gradient-based)
2025-11-08 18:23:46 - Analytic gradient 사용 (Apollo 방식)
2025-11-08 18:23:46 - 조기 종료 활성화: 20회 연속 함수 호출에서 LL 개선 없으면 종료 (tol=1e-6)
2025-11-08 18:24:03 - Iter    1: LL =   -7176.3033 (Best:   -7176.3033) [NEW BEST]
2025-11-08 18:46:10 - Iter   37: LL =   -5405.0214 (Best:   -5405.0214) [NEW BEST]
2025-11-08 18:46:48 - Iter   38: LL =   -5403.7788 (Best:   -5403.7788) [NEW BEST]
2025-11-08 18:47:27 - Iter   39: LL =   -5401.5070 (Best:   -5401.5070) [NEW BEST]
2025-11-08 18:48:06 - Iter   40: LL =   -5397.5239 (Best:   -5397.5239) [NEW BEST]
2025-11-08 18:48:45 - Iter   41: LL =   -5397.4460 (Best:   -5397.4460) [NEW BEST]
2025-11-08 18:49:23 - Iter   42: LL =   -5395.4375 (Best:   -5395.4375) [NEW BEST]
2025-11-08 18:50:01 - Iter   43: LL =   -5394.2125 (Best:   -5394.2125) [NEW BEST]
2025-11-08 18:50:40 - Iter   44: LL =   -5392.0641 (Best:   -5392.0641) [NEW BEST]
2025-11-08 18:51:19 - Iter   45: LL =   -5388.3877 (Best:   -5388.3877) [NEW BEST]
2025-11-08 18:51:57 - Iter   46: LL =   -5387.0343 (Best:   -5387.0343) [NEW BEST]
2025-11-08 18:52:37 - Iter   47: LL =   -5384.6541 (Best:   -5384.6541) [NEW BEST]
2025-11-08 18:53:15 - Iter   48: LL =   -5383.6367 (Best:   -5383.6367) [NEW BEST]
2025-11-08 18:53:54 - Iter   49: LL =   -5381.9996 (Best:   -5381.9996) [NEW BEST]
2025-11-08 18:54:32 - Iter   50: LL =   -5379.3415 (Best:   -5379.3415) [NEW BEST]
2025-11-08 18:55:11 - Iter   51: LL =   -5377.5223 (Best:   -5377.5223) [NEW BEST]
2025-11-08 18:55:50 - Iter   52: LL =   -5376.2599 (Best:   -5376.2599) [NEW BEST]
2025-11-08 18:56:28 - Iter   53: LL =   -5374.0485 (Best:   -5374.0485) [NEW BEST]
2025-11-08 18:57:06 - Iter   54: LL =   -5371.0570 (Best:   -5371.0570) [NEW BEST]
2025-11-08 18:57:46 - Iter   55: LL =   -5368.7285 (Best:   -5368.7285) [NEW BEST]
2025-11-08 18:58:24 - Iter   56: LL =   -5368.5760 (Best:   -5368.5760) [NEW BEST]
2025-11-08 18:59:03 - Iter   57: LL =   -5367.4937 (Best:   -5367.4937) [NEW BEST]
2025-11-08 18:59:39 - Iter   58: LL =   -5365.6342 (Best:   -5365.6342) [NEW BEST]
2025-11-08 19:00:15 - Iter   59: LL =   -5363.7861 (Best:   -5363.7861) [NEW BEST]
2025-11-08 19:00:52 - Iter   60: LL =   -5363.0041 (Best:   -5363.0041) [NEW BEST]
2025-11-08 19:01:28 - Iter   61: LL =   -5362.8712 (Best:   -5362.8712) [NEW BEST]
2025-11-08 19:02:05 - Iter   62: LL =   -5362.6621 (Best:   -5362.6621) [NEW BEST]
2025-11-08 19:02:41 - Iter   63: LL =   -5362.5182 (Best:   -5362.5182) [NEW BEST]
2025-11-08 19:03:20 - Iter   64: LL =   -5362.5021 (Best:   -5362.5021) [NEW BEST]
2025-11-08 19:03:59 - Iter   65: LL =   -5362.4911 (Best:   -5362.4911) [NEW BEST]
2025-11-08 19:04:38 - Iter   66: LL =   -5362.4835 (Best:   -5362.4835) [NEW BEST]
2025-11-08 19:05:16 - Iter   67: LL =   -5362.4816 (Best:   -5362.4816) [NEW BEST]
2025-11-08 19:05:56 - Iter   68: LL =   -5362.4802 (Best:   -5362.4802) [NEW BEST]
2025-11-08 19:06:33 - Iter   69: LL =   -5362.4796 (Best:   -5362.4796) [NEW BEST]
2025-11-08 19:07:11 - Iter   70: LL =   -5362.4796 (Best:   -5362.4796) [NEW BEST]
2025-11-08 19:07:47 - Iter   71: LL =   -5362.4794 (Best:   -5362.4794) [NEW BEST]
2025-11-08 19:08:23 - Iter   72: LL =   -5362.4793 (Best:   -5362.4793) [NEW BEST]
2025-11-08 19:08:59 - Iter   73: LL =   -5362.4793 (Best:   -5362.4793) [NEW BEST]
2025-11-08 19:13:16 - Iter   80: LL =   -5362.4793 (Best:   -5362.4793) 
2025-11-08 19:13:52 - Iter   81: LL =   -5362.4793 (Best:   -5362.4793) [NEW BEST]
2025-11-08 19:15:04 - Iter   83: LL =   -5362.4793 (Best:   -5362.4793) [NEW BEST]
2025-11-08 19:19:22 - Iter   90: LL =   -5362.4793 (Best:   -5362.4793) 
2025-11-08 19:21:11 - 조기 종료: 20회 연속 함수 호출에서 LL 개선 없음 (Best LL=5362.4793)
2025-11-08 19:21:11 - 조기 종료 완료: 함수 호출 93회, LL=-5362.4793
2025-11-08 19:21:11 - 최적화 성공
2025-11-08 19:21:11 - ======================================================================
2025-11-08 19:21:11 - 최종 로그우도: -5362.4793
2025-11-08 19:21:11 - 반복 횟수: 93
2025-11-08 19:21:11 - ======================================================================
