Coefficient,Estimate,Std. Err.,P. Value
"τ_perceived_price_1,1",-2.0,N/A,N/A
"τ_perceived_price_1,2",-1.0,N/A,N/A
"τ_perceived_price_1,3",1.0,N/A,N/A
"τ_perceived_price_1,4",2.0,N/A,N/A
"τ_perceived_price_2,1",-2.0,N/A,N/A
"τ_perceived_price_2,2",-1.0,N/A,N/A
"τ_perceived_price_2,3",1.0,N/A,N/A
"τ_perceived_price_2,4",2.0,N/A,N/A
"τ_perceived_price_3,1",-2.0,N/A,N/A
"τ_perceived_price_3,2",-1.0,N/A,N/A
"τ_perceived_price_3,3",1.0,N/A,N/A
"τ_perceived_price_3,4",2.0,N/A,N/A
ζ_nutrition_knowledge_1,1.0,N/A,N/A
ζ_nutrition_knowledge_2,1.0,N/A,N/A
ζ_nutrition_knowledge_3,1.0,N/A,N/A
ζ_nutrition_knowledge_4,1.0,N/A,N/A
ζ_nutrition_knowledge_5,1.0,N/A,N/A
ζ_nutrition_knowledge_6,1.0,N/A,N/A
ζ_nutrition_knowledge_7,1.0,N/A,N/A
ζ_nutrition_knowledge_8,1.0,N/A,N/A
ζ_nutrition_knowledge_9,1.0,N/A,N/A
ζ_nutrition_knowledge_10,1.0,N/A,N/A
ζ_nutrition_knowledge_11,1.0,N/A,N/A
ζ_nutrition_knowledge_12,1.0,N/A,N/A
ζ_nutrition_knowledge_13,1.0,N/A,N/A
ζ_nutrition_knowledge_14,1.0,N/A,N/A
ζ_nutrition_knowledge_15,1.0,N/A,N/A
ζ_nutrition_knowledge_16,1.0,N/A,N/A
ζ_nutrition_knowledge_17,1.0,N/A,N/A
ζ_nutrition_knowledge_18,1.0,N/A,N/A
ζ_nutrition_knowledge_19,1.0,N/A,N/A
ζ_nutrition_knowledge_20,1.0,N/A,N/A
"τ_nutrition_knowledge_1,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_1,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_1,3",1.0,N/A,N/A
"τ_nutrition_knowledge_1,4",2.0,N/A,N/A
"τ_nutrition_knowledge_2,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_2,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_2,3",1.0,N/A,N/A
"τ_nutrition_knowledge_2,4",2.0,N/A,N/A
"τ_nutrition_knowledge_3,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_3,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_3,3",1.0,N/A,N/A
"τ_nutrition_knowledge_3,4",2.0,N/A,N/A
"τ_nutrition_knowledge_4,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_4,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_4,3",1.0,N/A,N/A
"τ_nutrition_knowledge_4,4",2.0,N/A,N/A
"τ_nutrition_knowledge_5,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_5,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_5,3",1.0,N/A,N/A
"τ_nutrition_knowledge_5,4",2.0,N/A,N/A
"τ_nutrition_knowledge_6,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_6,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_6,3",1.0,N/A,N/A
"τ_nutrition_knowledge_6,4",2.0,N/A,N/A
"τ_nutrition_knowledge_7,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_7,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_7,3",1.0,N/A,N/A
"τ_nutrition_knowledge_7,4",2.0,N/A,N/A
"τ_nutrition_knowledge_8,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_8,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_8,3",1.0,N/A,N/A
"τ_nutrition_knowledge_8,4",2.0,N/A,N/A
"τ_nutrition_knowledge_9,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_9,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_9,3",1.0,N/A,N/A
"τ_nutrition_knowledge_9,4",2.0,N/A,N/A
"τ_nutrition_knowledge_10,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_10,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_10,3",1.0,N/A,N/A
"τ_nutrition_knowledge_10,4",2.0,N/A,N/A
"τ_nutrition_knowledge_11,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_11,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_11,3",1.0,N/A,N/A
"τ_nutrition_knowledge_11,4",2.0,N/A,N/A
"τ_nutrition_knowledge_12,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_12,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_12,3",1.0,N/A,N/A
"τ_nutrition_knowledge_12,4",2.0,N/A,N/A
"τ_nutrition_knowledge_13,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_13,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_13,3",1.0,N/A,N/A
"τ_nutrition_knowledge_13,4",2.0,N/A,N/A
"τ_nutrition_knowledge_14,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_14,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_14,3",1.0,N/A,N/A
"τ_nutrition_knowledge_14,4",2.0,N/A,N/A
"τ_nutrition_knowledge_15,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_15,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_15,3",1.0,N/A,N/A
"τ_nutrition_knowledge_15,4",2.0,N/A,N/A
"τ_nutrition_knowledge_16,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_16,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_16,3",1.0,N/A,N/A
"τ_nutrition_knowledge_16,4",2.0,N/A,N/A
"τ_nutrition_knowledge_17,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_17,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_17,3",1.0,N/A,N/A
"τ_nutrition_knowledge_17,4",2.0,N/A,N/A
"τ_nutrition_knowledge_18,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_18,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_18,3",1.0,N/A,N/A
"τ_nutrition_knowledge_18,4",2.0,N/A,N/A
"τ_nutrition_knowledge_19,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_19,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_19,3",1.0,N/A,N/A
"τ_nutrition_knowledge_19,4",2.0,N/A,N/A
"τ_nutrition_knowledge_20,1",-2.0,N/A,N/A
"τ_nutrition_knowledge_20,2",-1.0,N/A,N/A
"τ_nutrition_knowledge_20,3",1.0,N/A,N/A
"τ_nutrition_knowledge_20,4",2.0,N/A,N/A
ζ_purchase_intention_1,1.0,N/A,N/A
ζ_purchase_intention_2,1.0,N/A,N/A
ζ_purchase_intention_3,1.0,N/A,N/A
"τ_purchase_intention_1,1",-2.0,N/A,N/A
"τ_purchase_intention_1,2",-1.0,N/A,N/A
"τ_purchase_intention_1,3",1.0,N/A,N/A
"τ_purchase_intention_1,4",2.0,N/A,N/A
"τ_purchase_intention_2,1",-2.0,N/A,N/A
"τ_purchase_intention_2,2",-1.0,N/A,N/A
"τ_purchase_intention_2,3",1.0,N/A,N/A
"τ_purchase_intention_2,4",2.0,N/A,N/A
"τ_purchase_intention_3,1",-2.0,N/A,N/A
"τ_purchase_intention_3,2",-1.0,N/A,N/A
"τ_purchase_intention_3,3",1.0,N/A,N/A
"τ_purchase_intention_3,4",2.0,N/A,N/A
γ_lv_health_concern,0.0,N/A,N/A
γ_lv_perceived_benefit,0.0,N/A,N/A
γ_lv_perceived_price,0.0,N/A,N/A
γ_lv_nutrition_knowledge,0.0,N/A,N/A
γ_x_age_std,0.0,N/A,N/A
γ_x_gender,0.0,N/A,N/A
γ_x_income_std,0.0,N/A,N/A
β_Intercept,0.0,N/A,N/A
β_sugar_free,0.0,N/A,N/A
β_health_label,0.0,N/A,N/A
β_price,0.0,N/A,N/A
λ,1.0,N/A,N/A
,,,
Estimation statistics,,,
Iterations,6,LL (start),-43820.77
AIC,88045.54,"LL (final, whole model)",-43820.77
BIC,89395.58,LL (Choice),N/A
